Date,Open,High,Low,Close,Adj Close,Volume
1/16/2019,54,54.618752,53.966999,54.0485,54.0485,26636000
1/17/2019,53.973499,54.59,53.674999,54.494999,54.494999,24854000
1/18/2019,55,55.417599,54.544998,54.912998,54.912998,39112000
1/22/2019,54.400002,54.5755,53.1735,53.526001,53.526001,32270000
1/23/2019,53.8675,54.246498,52.987499,53.7785,53.7785,19340000
1/24/2019,53.824001,53.973751,53.035,53.695,53.695,27226000
1/25/2019,54.25,54.700001,54.091,54.5495,54.5495,22382000
1/28/2019,54.005501,54.150002,53.189999,53.504002,53.504002,25686000
1/29/2019,53.633999,53.7575,52.793251,53.030998,53.030998,20436000
1/30/2019,53.421501,54.549999,53.342499,54.452999,54.452999,25596000
1/31/2019,55.150002,55.866501,54.7705,55.818501,55.818501,30766000
2/1/2019,55.619999,56.25,55.244499,55.537498,55.537498,29244000
2/4/2019,55.632999,56.639999,55.451,56.639999,56.639999,51530000
2/5/2019,56.242001,57.342499,55.8624,57.2995,57.2995,71044000
2/6/2019,56.9785,57.349998,55.6385,55.761501,55.761501,42112000
2/7/2019,55.208,55.242001,54.299999,54.935501,54.935501,40896000
2/8/2019,54.349998,54.945499,54.327499,54.752998,54.752998,21516000
2/11/2019,54.8475,55.297249,54.643002,54.7505,54.7505,21304000
2/12/2019,55.34,56.264751,55.2925,56.068501,56.068501,32182000
2/13/2019,56.2495,56.7365,55.924999,56.007999,56.007999,20996000
2/14/2019,55.9025,56.411499,55.522251,56.0835,56.0835,18952000
2/15/2019,56.504002,56.5835,55.532501,55.682499,55.682499,28996000
2/19/2019,55.5,56.094501,55.5,55.928001,55.928001,20928000
2/20/2019,55.9995,56.170502,55.264,55.689999,55.689999,21756000
2/21/2019,55.542,55.597,54.625999,54.848499,54.848499,28302000
2/22/2019,55.044998,55.562,54.779999,55.518501,55.518501,20990000
2/25/2019,55.799999,55.926998,55.363499,55.470001,55.470001,28262000
2/26/2019,55.287498,55.975498,54.995998,55.7565,55.7565,29426000
2/27/2019,55.3475,55.898998,55.049999,55.802502,55.802502,19368000
2/28/2019,55.564999,56.3825,55.550499,55.995998,55.995998,30850000
3/1/2019,56.244999,57.148499,56.237499,57.0495,57.0495,29006000
3/4/2019,57.349499,57.914001,56.5345,57.389999,57.389999,28920000
3/5/2019,57.502998,58.480499,57.30975,58.101501,58.101501,28864000
3/6/2019,58.1245,58.3783,57.774502,57.893002,57.893002,21986000
3/7/2019,57.785999,57.837749,56.745499,57.165001,57.165001,23332000
3/8/2019,56.336498,57.354,56.165001,57.116001,57.116001,24248000
3/11/2019,57.2225,58.809502,57.2225,58.787998,58.787998,34384000
3/12/2019,58.912998,60,58.912998,59.66,59.66,40262000
3/13/2019,60.032249,60.046501,59.597,59.666,59.666,28718000
3/14/2019,59.725498,59.894001,59.223999,59.2775,59.2775,23456000
3/15/2019,59.668999,59.828499,59.130501,59.223,59.223,49236000
3/18/2019,59.165001,59.5,58.871052,59.213001,59.213001,25852000
3/19/2019,59.440498,60,59.293499,59.942501,59.942501,30414000
3/20/2019,59.8675,61.356998,59.808498,61.198502,61.198502,44548000
3/21/2019,60.799999,61.5895,60.657501,61.577,61.577,24080000
3/22/2019,61.316002,61.5,60.141251,60.275002,60.275002,34284000
3/25/2019,59.8465,60.319901,59.352001,59.650002,59.650002,29936000
3/26/2019,59.926498,60.141499,58.835999,59.230999,59.230999,38024000
3/27/2019,59.275002,59.377949,57.968498,58.651001,58.651001,28004000
3/28/2019,58.577,58.578251,57.97155,58.4245,58.4245,19234000
3/29/2019,58.744999,58.949501,58.144001,58.665501,58.665501,25398000
4/1/2019,59.205002,59.833,59.099998,59.7215,59.7215,25050000
4/2/2019,59.765999,60.067501,59.2855,60.024502,60.024502,16558000
4/3/2019,60.374001,60.814999,60.025002,60.296001,60.296001,20286000
4/4/2019,60.297001,60.783501,60.206501,60.75,60.75,19000000
4/5/2019,60.7495,60.811001,60.251499,60.357498,60.357498,18144000
4/8/2019,60.394501,60.434502,59.993,60.192001,60.192001,17204000
4/9/2019,59.799999,60.114498,59.653999,59.862499,59.862499,17528000
4/10/2019,60.034,60.189251,59.821751,60.108002,60.108002,14492000
4/11/2019,60.198002,60.397999,60.0065,60.230999,60.230999,14204000
4/12/2019,60.5,60.9175,60.405499,60.893501,60.893501,18668000
4/15/2019,60.900002,61.209999,60.455502,61.055,61.055,23748000
4/16/2019,61.25,61.541,61.006001,61.356499,61.356499,17126000
4/17/2019,61.650002,62.028,61.390999,61.817001,61.817001,24438000
4/18/2019,61.959,62.099998,61.730499,61.818501,61.818501,26636000
4/22/2019,61.7995,62.454498,61.415501,62.442001,62.442001,16146000
4/23/2019,62.5345,63.450001,62.319,63.227501,63.227501,26398000
4/24/2019,63.206001,63.400501,62.75,62.799999,62.799999,20376000
4/25/2019,63.238499,63.370399,62.601501,63.172501,63.172501,22146000
4/26/2019,63.450001,63.6535,63.015999,63.609001,63.609001,24828000
4/29/2019,63.700001,64.463501,63.314751,64.378998,64.378998,49988000
4/30/2019,59.25,59.640499,58.75,59.424,59.424,124140000
5/1/2019,59.4025,59.4025,58.359001,58.403999,58.403999,52784000
5/2/2019,58.388,58.709499,57.750099,58.130501,58.130501,38896000
5/3/2019,58.682499,59.34,58.450001,59.27,59.27,39614000
5/6/2019,58.313,59.5425,58.313,59.469501,59.469501,31278000
